x_1,x_2,y
1.052,-0.001,0.431
1.031,-0.008,0.443
0.998,0.092,0.431
1.137,0.059,0.356
1.004,0.079,0.472
0.970,0.038,0.366
1.023,0.004,0.442
0.981,0.030,0.492
1.014,0.072,0.537
0.985,-0.016,0.467
1.050,0.124,0.446
1.018,0.006,0.479
1.073,-0.020,0.407
1.028,0.048,0.449
1.060,0.033,0.455
1.048,0.020,0.391
1.038,0.075,0.415
0.989,0.038,0.427
1.011,-0.051,0.385
1.115,0.010,0.470
1.007,-0.036,0.511
1.053,0.048,0.527
1.003,0.012,0.500
1.088,0.052,0.473
0.958,0.104,0.477
0.954,0.081,0.573
1.033,0.041,0.415
1.055,0.056,0.455
1.039,0.086,0.507
1.068,-0.017,0.410
1.055,-0.139,0.412
1.081,0.002,0.448
1.005,-0.052,0.394
1.186,0.030,0.517
1.000,0.068,0.414
0.974,0.004,0.441
0.984,0.006,0.441
1.028,-0.017,0.445
0.989,-0.043,0.432
1.008,0.103,0.498
0.943,-0.007,0.434
1.073,0.007,0.480
1.079,0.071,0.516
1.040,-0.029,0.425
0.909,0.012,0.444
1.083,-0.033,0.467
1.065,-0.033,0.385
1.007,0.087,0.532
0.999,0.086,0.451
1.024,-0.031,0.455
1.044,0.023,0.523
0.995,0.078,0.608
1.129,0.142,0.498
1.106,0.112,0.504
0.981,0.115,0.472
1.095,0.031,0.466
1.088,-0.057,0.535
0.988,0.003,0.458
1.015,0.006,0.461
0.932,0.019,0.526
1.059,0.040,0.487
0.996,-0.011,0.594
0.986,-0.026,0.438
0.976,0.048,0.465
1.017,0.080,0.419
0.996,0.043,0.375
1.055,0.019,0.479
1.017,0.086,0.620
1.078,-0.018,0.574
1.024,-0.049,0.450
1.057,0.006,0.569
1.046,0.046,0.582
0.995,-0.033,0.391
1.019,0.003,0.454
0.992,-0.005,0.541
0.950,0.008,0.545
0.962,-0.000,0.511
1.068,-0.069,0.528
0.986,-0.044,0.565
1.041,0.020,0.419
1.037,-0.050,0.397
0.992,0.111,0.540
1.031,0.036,0.507
1.022,0.064,0.516
1.070,0.071,0.418
0.956,0.092,0.478
1.071,0.062,0.502
0.989,0.030,0.610
1.074,0.053,0.576
1.040,0.053,0.451
1.002,-0.013,0.486
1.017,-0.013,0.495
1.036,0.009,0.562
1.047,-0.007,0.436
0.985,0.056,0.508
1.027,0.048,0.542
1.147,0.063,0.548
1.012,0.079,0.457
0.982,0.076,0.469
0.967,-0.017,0.466
1.087,0.122,0.427
1.057,0.028,0.539
1.085,-0.002,0.542
0.986,0.065,0.547
1.047,0.035,0.624
0.953,-0.005,0.497
1.085,0.047,0.519
1.073,0.040,0.519
1.065,0.042,0.472
1.061,-0.009,0.497
0.950,-0.106,0.562
1.025,-0.005,0.507
1.140,-0.033,0.450
1.039,-0.026,0.547
1.015,-0.032,0.523
1.030,-0.060,0.600
0.981,0.051,0.481
1.050,-0.013,0.558
0.967,0.038,0.555
1.046,0.065,0.551
1.031,0.068,0.592
0.994,0.044,0.515
1.021,0.014,0.589
1.038,0.018,0.498
1.103,0.069,0.590
1.095,0.055,0.530
1.118,0.012,0.563
1.018,0.117,0.418
1.104,0.040,0.557
1.106,0.000,0.465
1.006,0.121,0.473
1.000,-0.048,0.571
1.003,0.014,0.572
0.976,0.015,0.538
1.061,-0.013,0.562
1.034,0.129,0.634
1.014,0.075,0.518
1.066,0.060,0.544
1.066,-0.025,0.546
1.009,0.068,0.492
1.042,0.087,0.551
1.008,0.001,0.541
1.055,0.079,0.489
1.036,0.097,0.548
0.994,0.032,0.590
1.052,0.058,0.540
0.954,0.057,0.531
1.025,-0.014,0.570
0.989,-0.003,0.542
0.976,0.099,0.566
1.003,0.025,0.561
0.984,0.114,0.487
1.030,0.005,0.629
1.077,-0.010,0.622
1.017,0.036,0.534
1.071,-0.013,0.539
1.140,0.008,0.532
1.020,0.005,0.666
1.079,0.046,0.575
1.014,-0.018,0.630
1.066,-0.009,0.605
1.141,0.038,0.546
1.111,-0.002,0.644
1.064,-0.046,0.593
0.991,-0.015,0.594
1.006,0.021,0.534
1.043,0.023,0.574
1.014,0.138,0.597
0.968,0.022,0.637
1.016,0.074,0.625
1.004,0.032,0.572
1.009,0.096,0.580
1.090,-0.018,0.615
0.921,0.061,0.686
1.045,0.037,0.579
0.927,0.020,0.530
1.063,0.000,0.688
1.004,0.174,0.625
1.065,0.061,0.645
1.010,0.016,0.671
1.036,0.059,0.576
0.996,-0.047,0.650
0.972,0.011,0.527
1.035,0.057,0.582
1.136,0.016,0.577
1.001,0.093,0.581
1.074,0.018,0.544
1.058,0.044,0.597
0.946,0.039,0.590
0.863,0.082,0.629
1.096,0.003,0.539
1.132,0.013,0.681
1.135,0.059,0.624
1.020,0.049,0.570
1.060,-0.027,0.560
1.034,0.008,0.560
0.977,0.009,0.615
1.103,0.025,0.548
0.931,0.130,0.621
1.020,0.072,0.586
1.071,0.054,0.561
0.985,0.081,0.614
0.964,0.076,0.613
0.982,0.112,0.632
1.002,0.054,0.535
1.040,0.014,0.472
1.054,-0.017,0.611
1.091,0.013,0.622
1.057,0.032,0.603
1.069,0.014,0.667
1.061,-0.009,0.558
1.043,-0.003,0.728
1.109,-0.018,0.600
0.958,0.044,0.685
0.965,0.032,0.562
1.065,0.001,0.664
0.970,0.025,0.596
1.051,0.079,0.685
1.001,0.008,0.638
0.998,0.068,0.677
1.038,-0.033,0.637
1.011,0.027,0.605
1.012,0.058,0.631
0.969,0.048,0.582
0.998,0.063,0.580
1.062,0.064,0.645
1.036,-0.047,0.701
1.013,0.082,0.656
1.035,0.039,0.710
1.050,0.061,0.658
1.005,0.008,0.596
1.024,0.020,0.631
1.110,0.037,0.605
0.963,-0.002,0.722
1.004,0.057,0.631
1.049,-0.083,0.633
1.081,0.058,0.645
1.023,0.125,0.565
0.951,0.061,0.684
1.112,0.075,0.665
0.984,0.012,0.650
1.012,0.045,0.647
0.941,0.025,0.676
0.937,-0.037,0.635
0.975,-0.026,0.706
1.001,0.044,0.648
1.124,0.043,0.647
1.075,0.067,0.616
1.093,-0.000,0.696
1.129,0.019,0.682
1.038,0.045,0.674
0.986,0.042,0.744
1.021,0.075,0.675
1.075,0.136,0.732
1.040,0.004,0.681
1.027,-0.034,0.683
0.995,-0.043,0.720
1.108,0.023,0.702
0.973,0.046,0.660
0.997,0.048,0.681
1.025,0.014,0.703
1.012,-0.062,0.727
1.056,0.122,0.776
1.064,0.056,0.609
0.995,0.064,0.671
0.932,0.062,0.738
0.956,0.030,0.683
1.076,0.029,0.622
0.962,0.033,0.657
1.105,-0.024,0.681
1.076,0.040,0.703
1.003,0.086,0.654
1.046,0.049,0.701
1.017,0.044,0.741
0.987,0.064,0.670
1.011,0.043,0.694
1.072,0.028,0.666
1.046,0.049,0.740
1.094,-0.009,0.673
0.996,0.061,0.623
1.020,0.058,0.756
1.005,0.036,0.650
0.896,-0.010,0.721
1.062,0.045,0.726
0.984,-0.079,0.721
0.960,0.076,0.694
0.963,0.055,0.800
1.102,0.122,0.741
1.020,-0.043,0.772
0.988,0.124,0.637
1.069,0.086,0.718
1.104,0.009,0.814
1.070,0.008,0.673
1.108,0.023,0.671
1.009,0.043,0.750
1.021,-0.006,0.735
1.016,0.038,0.770
0.983,0.051,0.664
0.977,0.155,0.656
1.085,0.047,0.733
1.032,-0.032,0.756
1.065,0.014,0.770
0.947,0.073,0.767
0.976,0.118,0.625
1.132,0.058,0.727
1.091,0.111,0.780
1.044,0.028,0.699
1.078,0.023,0.657
1.011,0.004,0.817
1.005,0.047,0.666
1.083,-0.041,0.717
0.997,0.048,0.678
1.079,-0.006,0.700
0.994,0.051,0.771
1.048,-0.054,0.781
1.057,0.081,0.681
1.002,0.029,0.666
1.044,0.103,0.753
0.972,-0.005,0.711
1.041,0.023,0.686
1.044,0.052,0.766
1.071,0.079,0.826
1.049,-0.026,0.752
1.088,0.070,0.546
1.013,0.100,0.713
1.005,-0.083,0.685
1.002,0.130,0.768
1.041,-0.037,0.768
1.002,0.050,0.819
1.038,0.055,0.742
1.036,0.050,0.762
1.017,0.036,0.746
0.952,0.050,0.749
1.162,0.076,0.714
1.008,0.116,0.750
0.942,-0.037,0.771
1.122,0.072,0.760
1.098,0.039,0.748
1.018,-0.010,0.840
1.018,0.007,0.714
1.091,0.093,0.738
1.056,-0.012,0.808
1.056,0.019,0.761
1.057,0.025,0.709
1.019,0.046,0.813
0.994,0.063,0.772
1.104,0.018,0.727
0.990,-0.052,0.805
0.996,0.081,0.742
1.119,0.032,0.861
1.020,-0.007,0.753
1.074,0.072,0.779
1.145,0.007,0.745
1.007,0.153,0.778
1.079,0.173,0.832
1.063,0.075,0.805
1.072,-0.050,0.800
1.054,0.040,0.764
1.203,0.100,0.843
1.009,0.039,0.757
1.086,0.088,0.780
1.015,0.012,0.802
1.039,0.078,0.745
1.002,0.027,0.720
1.093,-0.005,0.776
1.092,-0.021,0.917
1.023,0.084,0.716
1.036,0.178,0.805
1.069,0.053,0.732
1.071,0.075,0.881
1.011,0.075,0.762
1.006,0.084,0.783
1.070,0.072,0.785
1.067,0.043,0.815
1.072,0.108,0.877
0.959,0.036,0.828
1.056,0.134,0.820
0.972,-0.072,0.822
1.094,0.038,0.786
1.111,0.142,0.755
1.009,0.019,0.803
0.921,0.087,0.768
1.112,0.092,0.821
1.070,0.116,0.812
1.048,0.059,0.810
1.063,0.006,0.862
1.070,0.041,0.838
1.129,0.019,0.837
1.094,0.015,0.723
1.013,0.042,0.771
1.017,0.097,0.785
1.017,-0.047,0.784
0.990,0.018,0.827
1.086,0.017,0.859
1.055,0.004,0.842
1.023,0.202,0.772
1.012,0.090,0.839
1.025,0.038,0.837
1.044,0.044,0.812
1.042,0.059,0.727
1.021,0.039,0.821
0.998,0.056,0.787
1.059,-0.106,0.805
1.028,-0.017,0.814
1.005,0.026,0.836
1.031,0.071,0.856
1.101,-0.076,0.832
1.022,0.047,0.718
1.067,0.039,0.784
0.995,0.037,0.756
1.030,0.059,0.781
1.061,0.067,0.851
1.066,0.138,0.794
1.110,0.083,0.832
1.010,-0.000,0.830
1.057,0.013,0.813
1.021,0.090,0.855
1.163,-0.023,0.870
1.042,0.088,0.845
1.039,0.069,0.831
1.061,0.124,0.872
1.069,0.027,0.860
1.052,-0.075,0.870
0.978,0.032,0.905
1.038,-0.012,0.892
1.062,-0.023,0.845
1.027,0.049,0.790
1.015,0.004,0.785
1.048,0.098,0.715
1.117,-0.064,0.760
0.957,-0.093,0.810
1.044,0.095,0.812
1.058,0.052,0.844
0.991,0.015,0.859
0.952,0.148,0.805
1.064,0.062,0.939
1.008,0.025,0.866
1.042,0.043,0.904
1.093,0.039,0.845
1.098,0.052,0.855
1.062,-0.047,0.828
1.018,0.062,0.826
1.017,0.006,0.878
1.032,-0.034,0.797
0.985,0.045,0.821
1.058,0.079,0.877
0.928,0.026,0.839
0.952,0.059,0.917
1.047,0.028,0.784
1.052,0.085,0.876
1.044,0.124,0.792
1.006,0.087,0.869
1.055,0.043,0.920
0.981,0.081,0.953
1.104,0.102,0.861
1.037,-0.010,0.966
1.001,-0.017,0.834
1.020,0.036,0.854
1.047,0.080,0.888
0.943,0.064,0.935
1.029,0.110,0.948
0.983,0.037,0.920
1.195,0.018,0.903
1.053,0.165,0.906
1.055,0.075,0.890
1.049,0.070,1.022
1.097,0.075,0.962
1.041,0.046,0.933
1.101,0.007,0.893
1.072,0.002,0.884
1.100,0.002,0.910
1.081,0.104,0.891
0.945,-0.020,0.932
1.009,0.010,0.946
1.093,0.071,0.775
1.026,0.018,0.742
0.945,0.062,0.894
1.020,0.033,0.834
1.127,0.044,0.944
1.060,0.009,0.869
1.007,-0.007,0.926
0.970,0.043,1.017
1.097,0.037,0.886
0.999,0.069,0.788
1.047,0.065,0.867
1.015,0.064,0.907
0.941,0.136,0.931
1.086,0.098,0.962
1.009,0.097,0.859
1.040,0.002,0.918
0.999,0.100,0.913
0.995,0.057,0.843
0.965,0.032,0.991
1.060,0.135,0.914
1.039,0.103,0.867
1.021,0.156,0.888
0.973,0.051,0.957
1.062,0.044,1.030
1.043,0.098,0.908
1.132,0.058,0.914
0.958,0.050,0.974
1.055,0.093,0.887
1.063,-0.098,0.978
0.926,0.074,0.914
1.083,0.060,0.884
1.163,0.054,0.844
1.047,0.034,0.922
1.121,0.077,0.845
1.064,0.159,0.928
1.053,0.116,0.846
1.072,0.070,0.844
0.992,0.001,0.999
1.048,-0.020,0.964
1.017,0.017,0.919
0.997,0.139,1.013
1.088,0.030,0.902
1.090,0.092,0.952
1.017,0.033,0.935
1.022,0.058,1.063
1.065,0.104,0.898
0.964,-0.019,0.977
1.033,0.033,0.991
1.022,0.096,1.019
0.984,0.125,0.896
1.075,0.023,0.928
1.030,0.059,1.019
0.926,-0.012,1.038
1.100,-0.010,0.918
1.056,0.069,1.065
1.044,-0.058,0.864
1.057,0.071,0.938
1.130,0.067,0.965
1.191,0.086,0.892
1.105,-0.061,0.915
1.149,0.006,0.935
1.062,0.033,0.960
1.000,0.034,1.038
1.124,0.066,1.017
1.009,0.053,0.890
1.035,0.072,0.982
1.125,0.115,0.912
1.129,0.068,0.962
0.987,0.056,1.018
0.984,0.033,0.898
0.974,0.105,0.954
1.091,0.105,0.970
1.030,0.024,1.052
1.029,-0.050,0.906
1.007,0.080,0.997
1.052,0.044,0.879
1.068,0.132,0.885
1.119,0.081,0.973
1.098,0.143,0.928
1.060,0.095,0.977
0.994,0.030,0.993
1.167,0.223,1.016
1.142,0.024,1.016
0.980,0.017,0.972
1.050,0.059,0.933
1.093,0.052,0.951
1.046,0.055,0.987
1.015,0.147,0.947
0.999,0.053,0.954
0.940,0.073,0.933
1.052,0.079,1.012
1.184,-0.004,1.061
1.061,-0.013,1.032
1.063,0.045,1.045
1.156,-0.015,0.944
1.048,0.004,1.001
1.055,0.105,0.996
1.067,-0.008,0.999
1.056,0.088,0.984
0.970,0.116,1.018
1.067,0.054,0.933
1.030,0.024,0.988
1.035,0.017,0.992
1.003,0.048,0.940
1.065,0.065,1.029
1.089,-0.013,1.003
1.092,0.008,0.966
1.051,0.058,0.962
0.976,0.100,1.011
1.070,0.046,1.100
1.014,0.026,0.875
1.076,0.052,1.019
1.008,0.020,1.056
1.052,0.048,1.019
1.111,0.082,0.931
1.062,-0.027,0.984
1.098,0.034,1.077
1.060,-0.035,0.980
0.932,0.018,0.965
1.033,0.008,1.006
1.106,0.027,1.012
1.013,0.007,1.005
0.973,-0.006,0.919
1.048,0.083,1.133
1.074,0.017,1.020
0.986,0.136,0.978
1.119,0.023,1.004
1.018,0.031,0.955
1.049,0.035,1.013
1.100,-0.001,1.121
1.086,0.019,0.977
1.069,0.001,1.066
1.088,0.088,1.041
1.023,0.059,1.015
1.043,0.042,1.019
0.991,0.029,1.001
0.959,0.045,1.005
1.018,0.052,1.000
1.009,0.093,1.019
1.027,0.082,0.951
1.139,0.096,1.082
0.956,0.085,1.004
1.140,0.004,1.059
0.988,0.047,1.091
1.017,0.071,1.072
0.985,0.087,0.972
1.088,0.173,1.070
1.074,0.091,0.939
1.065,0.108,0.989
1.101,0.093,1.037
1.004,0.012,0.975
1.204,0.060,1.129
0.925,0.056,1.034
1.048,0.068,0.991
1.149,0.098,1.055
1.117,0.023,0.989
1.070,0.002,1.047
0.979,0.025,1.099
1.068,0.047,1.000
1.098,0.113,1.031
1.127,0.032,0.983
0.972,0.002,1.064
0.950,0.107,1.098
0.916,0.087,1.012
1.019,0.017,1.056
1.104,0.019,1.121
1.050,0.025,1.047
1.034,0.117,1.008
1.011,0.045,1.109
1.052,0.072,1.133
0.993,0.014,1.076
1.136,0.088,1.047
0.958,0.017,1.083
1.081,-0.004,1.101
1.083,0.098,1.036
1.054,0.141,1.134
1.039,0.004,0.979
1.080,0.035,1.066
1.017,-0.016,0.998
1.173,0.030,1.096
1.073,0.024,1.065
1.114,-0.057,1.113
1.087,0.011,1.028
1.013,0.056,1.100
1.002,0.045,1.172
1.052,-0.021,1.111
1.106,-0.055,1.019
1.049,0.056,1.103
1.164,0.047,1.129
1.033,0.039,1.122
0.998,0.018,1.122
1.076,0.082,1.010
1.052,0.003,0.978
1.011,0.012,1.142
1.166,0.037,1.178
1.088,0.036,1.068
1.105,0.125,1.068
1.059,0.020,1.101
1.037,0.016,1.137
1.105,0.096,1.097
1.069,-0.004,1.064
1.209,0.004,0.970
1.153,0.023,1.000
1.023,0.016,1.110
1.053,0.074,1.118
0.949,0.114,0.979
1.036,0.035,1.163
1.062,0.119,1.125
1.016,0.056,1.087
1.027,0.075,1.004
1.030,0.005,1.122
0.966,0.032,1.149
1.004,-0.058,1.102
1.036,0.053,1.259
1.111,0.065,1.069
1.032,-0.005,1.082
1.044,0.067,1.096
0.966,0.080,1.097
0.978,-0.002,1.028
1.094,0.013,1.129
1.072,0.041,1.072
1.144,0.074,1.090
1.024,0.034,1.114
0.994,0.022,1.053
1.105,0.045,1.184
1.158,-0.016,1.161
0.995,0.068,1.176
1.050,0.064,1.109
1.085,0.050,1.056
1.045,0.035,1.231
1.015,0.030,1.194
1.069,0.082,1.072
1.046,0.110,1.133
1.082,0.117,1.168
1.205,0.014,0.990
1.049,0.116,1.202
1.061,0.096,1.205
1.041,0.050,1.072
0.986,0.076,1.145
1.044,0.019,1.155
1.072,0.034,1.125
1.013,-0.029,1.067
1.157,0.047,1.160
