x_1,x_2,x_3,y
0.111,0.222,0.165,1.000
-0.057,-0.023,-0.032,0.000
0.009,0.026,-0.016,0.000
0.048,0.039,-0.027,0.000
0.010,0.019,-0.030,0.000
-0.023,0.130,0.051,0.000
-0.052,-0.011,0.009,0.000
-0.008,-0.030,0.024,0.000
-0.040,0.012,0.062,0.000
0.248,0.289,0.195,1.000
0.264,0.177,0.242,1.000
-0.024,0.033,0.035,0.000
-0.021,0.049,-0.010,0.000
0.023,0.015,-0.039,0.000
0.181,0.137,0.250,1.000
0.203,0.138,0.148,1.000
-0.035,-0.026,-0.009,0.000
0.164,0.308,0.197,1.000
0.278,0.205,0.191,1.000
0.118,0.208,0.167,1.000
-0.024,-0.023,0.019,0.000
0.031,0.000,-0.008,0.000
0.319,0.221,0.155,1.000
0.142,0.165,0.140,1.000
0.179,0.190,0.135,1.000
0.177,0.272,0.267,1.000
0.035,0.061,0.042,0.000
0.246,0.188,0.156,1.000
-0.007,0.083,0.043,0.000
0.373,0.160,0.180,1.000
0.101,0.226,0.153,1.000
0.010,0.030,0.015,0.000
0.296,0.204,0.225,1.000
0.120,0.225,0.222,1.000
0.131,0.156,0.184,1.000
0.210,0.226,0.156,1.000
0.177,0.234,0.210,1.000
0.307,0.143,0.193,1.000
-0.046,0.070,-0.039,0.000
0.067,0.166,0.240,1.000
-0.019,-0.016,-0.091,0.000
0.348,0.214,0.209,1.000
0.030,0.033,0.012,0.000
0.063,0.076,0.040,0.000
0.152,0.220,0.113,1.000
0.283,0.227,0.158,1.000
0.159,0.210,0.198,1.000
0.288,0.225,0.136,1.000
0.285,0.184,0.208,1.000
0.168,0.125,0.156,1.000
0.082,0.201,0.093,1.000
-0.041,0.030,0.008,0.000
0.256,0.219,0.124,1.000
-0.002,-0.078,-0.018,0.000
0.202,0.190,0.263,1.000
-0.053,-0.059,-0.066,0.000
0.277,0.165,0.204,1.000
0.151,0.186,0.150,1.000
0.302,0.207,0.165,1.000
0.196,0.189,0.288,1.000
-0.019,-0.078,-0.044,0.000
0.143,0.127,0.196,1.000
-0.031,-0.030,-0.032,0.000
0.051,-0.023,-0.036,0.000
0.167,0.243,0.276,1.000
0.023,0.081,-0.037,0.000
0.286,0.176,0.170,1.000
0.292,0.189,0.147,1.000
0.082,0.194,0.257,1.000
-0.030,-0.003,0.008,0.000
-0.058,0.042,-0.046,0.000
-0.072,-0.032,0.021,0.000
-0.021,0.063,0.004,0.000
0.188,0.153,0.162,1.000
-0.029,-0.072,-0.095,0.000
0.287,0.198,0.177,1.000
0.023,0.014,0.055,0.000
-0.000,0.033,-0.055,0.000
0.152,0.104,0.251,1.000
0.057,0.021,0.061,0.000
0.143,0.162,0.231,1.000
-0.076,0.014,-0.126,0.000
0.033,0.198,0.181,1.000
0.280,0.237,0.213,1.000
-0.029,0.032,-0.113,0.000
0.362,0.194,0.142,1.000
-0.048,-0.022,-0.019,0.000
0.267,0.182,0.225,1.000
0.079,0.037,0.039,0.000
0.138,0.222,0.190,1.000
0.083,0.030,0.030,0.000
0.157,0.216,0.123,1.000
0.036,0.017,-0.044,0.000
0.002,-0.012,-0.014,0.000
0.242,0.163,0.185,1.000
-0.009,-0.089,0.014,0.000
0.328,0.238,0.174,1.000
0.033,0.076,0.057,0.000
-0.022,-0.020,-0.007,0.000
0.206,0.238,0.179,1.000
0.035,0.033,-0.015,0.000
0.033,0.172,0.209,1.000
0.235,0.180,0.218,1.000
0.138,0.320,0.209,1.000
0.131,0.238,0.189,1.000
0.005,-0.029,0.016,0.000
-0.068,-0.120,-0.022,0.000
0.136,0.111,0.269,1.000
0.235,0.302,0.322,1.000
0.234,0.053,0.259,1.000
0.134,0.270,0.218,1.000
0.044,0.036,0.076,0.000
0.068,0.203,0.101,1.000
-0.073,-0.035,-0.002,0.000
0.097,0.159,0.085,1.000
0.215,0.162,0.232,1.000
-0.049,-0.040,0.120,0.000
0.026,0.078,0.155,1.000
0.301,0.242,0.237,1.000
-0.019,0.042,0.055,0.000
0.077,-0.008,-0.054,0.000
0.055,-0.003,0.057,0.000
0.288,0.148,0.181,1.000
0.362,0.234,0.181,1.000
0.021,0.017,0.085,0.000
-0.000,0.006,0.006,0.000
0.407,0.173,0.227,1.000
-0.070,-0.068,-0.040,0.000
0.111,-0.110,-0.014,0.000
0.366,0.251,0.106,1.000
0.022,0.066,0.003,0.000
0.130,0.222,0.230,1.000
0.242,0.183,0.129,1.000
0.199,0.080,0.166,1.000
-0.006,-0.001,-0.021,0.000
0.297,0.139,0.193,1.000
0.062,-0.058,-0.034,0.000
0.126,-0.080,0.042,0.000
-0.005,0.025,0.030,0.000
0.170,0.184,0.179,1.000
0.236,0.199,0.212,1.000
0.066,-0.040,0.002,0.000
-0.000,0.084,-0.014,0.000
0.021,0.012,-0.002,0.000
-0.066,-0.011,0.070,0.000
0.003,0.050,-0.080,0.000
0.139,0.176,0.178,1.000
0.070,0.116,0.061,0.000
0.001,0.071,-0.051,0.000
0.076,-0.096,-0.042,0.000
0.091,0.142,0.198,1.000
0.024,0.021,0.057,0.000
-0.044,-0.058,-0.002,0.000
-0.062,-0.066,-0.021,0.000
0.250,0.185,0.382,1.000
0.087,-0.044,0.021,0.000
0.228,0.212,0.201,1.000
0.032,0.012,-0.048,0.000
0.215,0.167,0.098,1.000
-0.040,-0.046,-0.018,0.000
-0.008,0.002,0.037,0.000
0.015,0.066,-0.119,0.000
0.037,-0.023,0.021,0.000
-0.046,-0.024,0.007,0.000
-0.059,-0.071,-0.023,0.000
0.181,0.204,0.168,1.000
0.175,0.249,0.123,1.000
0.232,0.120,0.097,1.000
0.059,0.028,0.059,0.000
0.160,0.185,0.208,1.000
0.063,0.001,-0.015,0.000
-0.009,0.036,0.012,0.000
0.029,-0.005,-0.069,0.000
-0.072,0.060,-0.040,0.000
0.059,-0.037,0.043,0.000
0.351,0.170,0.241,1.000
0.104,0.209,0.237,1.000
0.149,0.258,0.277,1.000
0.291,0.165,0.235,1.000
0.182,0.090,0.204,1.000
-0.012,0.245,0.274,1.000
-0.049,0.024,0.038,0.000
0.390,0.169,0.259,1.000
0.069,-0.033,-0.070,0.000
0.098,0.039,0.031,0.000
-0.034,-0.017,-0.032,0.000
0.279,0.244,0.211,1.000
0.009,-0.061,-0.042,0.000
-0.029,0.023,0.011,0.000
-0.008,-0.102,-0.106,0.000
0.024,-0.043,-0.091,0.000
0.064,-0.011,0.006,0.000
0.017,0.031,0.085,0.000
0.426,0.139,0.137,1.000
0.073,-0.014,0.066,0.000
0.144,0.158,0.193,1.000
0.252,0.173,0.239,1.000
0.044,-0.013,0.048,0.000
0.110,0.250,0.257,1.000
0.007,0.030,0.047,0.000
0.141,0.239,0.109,1.000
0.285,0.148,0.166,1.000
0.023,0.148,0.196,1.000
-0.019,0.062,0.017,0.000
-0.048,-0.010,0.001,0.000
0.039,0.130,0.064,0.000
0.393,0.173,0.143,1.000
0.342,0.121,0.174,1.000
0.025,0.003,0.024,0.000
-0.008,-0.075,0.057,0.000
0.044,0.117,-0.083,0.000
0.060,0.181,0.182,1.000
-0.093,-0.010,-0.134,0.000
0.025,-0.010,0.005,0.000
0.023,0.061,-0.035,0.000
-0.003,-0.009,0.052,0.000
0.228,0.105,0.207,1.000
0.001,-0.015,0.011,0.000
-0.001,-0.030,0.051,0.000
-0.082,-0.081,-0.035,0.000
0.063,0.011,-0.059,0.000
0.020,-0.048,0.014,0.000
0.342,0.197,0.179,1.000
-0.081,-0.000,-0.043,0.000
-0.068,0.016,-0.012,0.000
-0.016,0.019,0.051,0.000
0.250,0.194,0.139,1.000
0.184,0.160,0.177,1.000
0.141,0.215,0.181,1.000
0.086,0.145,0.134,1.000
0.268,0.186,0.220,1.000
0.004,-0.075,0.044,0.000
0.204,0.151,0.223,1.000
0.185,0.127,0.184,1.000
0.005,-0.045,0.170,0.000
-0.020,0.022,-0.014,0.000
0.088,-0.025,-0.022,0.000
0.068,0.165,0.214,1.000
-0.005,-0.068,0.048,0.000
0.024,-0.067,0.074,0.000
0.247,0.280,0.188,1.000
0.280,0.170,0.214,1.000
0.300,0.243,0.222,1.000
0.284,0.150,0.283,1.000
0.259,0.209,0.203,1.000
0.212,0.194,0.183,1.000
-0.076,0.011,0.093,0.000
-0.043,0.057,0.030,0.000
0.173,0.135,0.087,1.000
-0.004,-0.102,-0.025,0.000
0.007,0.020,-0.004,0.000
0.266,0.146,0.182,1.000
-0.006,0.071,0.117,0.000
0.315,0.133,0.173,1.000
0.030,0.024,0.083,0.000
0.145,0.109,0.283,1.000
-0.006,0.052,0.091,0.000
0.111,0.182,0.189,1.000
0.140,0.180,0.176,1.000
0.108,0.248,0.267,1.000
0.029,0.067,0.069,0.000
0.067,-0.028,0.015,0.000
0.214,0.180,0.157,1.000
0.151,0.218,0.240,1.000
0.369,0.225,0.185,1.000
0.394,0.153,0.213,1.000
0.019,0.019,0.072,0.000
-0.104,-0.026,-0.000,0.000
0.249,0.247,0.248,1.000
0.054,0.048,-0.003,0.000
0.283,0.274,0.231,1.000
0.088,0.139,0.271,1.000
0.001,0.061,0.051,0.000
0.006,0.204,0.210,1.000
0.196,0.254,0.296,1.000
0.268,0.238,0.211,1.000
0.136,0.156,0.219,1.000
0.208,0.198,0.182,1.000
0.010,0.006,0.057,0.000
0.282,0.188,0.226,1.000
0.075,-0.003,0.074,0.000
0.164,0.143,0.312,1.000
0.271,0.161,0.183,1.000
0.260,0.224,0.211,1.000
0.009,0.115,0.032,0.000
0.288,0.172,0.131,1.000
-0.041,-0.052,-0.018,0.000
0.032,-0.014,-0.051,0.000
0.033,-0.026,-0.034,0.000
0.146,0.332,0.172,1.000
0.301,0.160,0.206,1.000
-0.078,-0.056,-0.060,0.000
0.057,-0.057,0.043,0.000
0.261,0.273,0.249,1.000
0.166,0.180,0.240,1.000
0.222,0.152,0.137,1.000
0.300,0.181,0.146,1.000
0.071,0.040,-0.016,0.000
0.064,0.168,0.272,1.000
0.020,0.246,0.228,1.000
0.028,-0.075,-0.017,0.000
-0.025,-0.032,0.095,0.000
-0.041,0.225,0.242,1.000
-0.024,-0.017,0.001,0.000
-0.056,0.046,0.011,0.000
0.009,-0.029,0.005,0.000
0.020,-0.075,0.016,0.000
0.067,-0.072,0.063,0.000
0.191,0.232,0.278,1.000
-0.105,-0.009,0.010,0.000
0.046,0.064,-0.024,0.000
0.033,-0.056,-0.123,0.000
-0.024,-0.049,0.048,0.000
-0.048,0.052,0.053,0.000
0.115,0.095,0.161,1.000
0.363,0.082,0.205,1.000
0.040,-0.005,0.047,0.000
0.228,0.285,0.213,1.000
0.130,0.168,0.190,1.000
-0.044,-0.012,0.024,0.000
0.133,0.148,0.272,1.000
0.280,0.208,0.257,1.000
0.017,-0.060,0.037,0.000
0.006,-0.016,0.042,0.000
0.075,0.023,0.025,0.000
0.279,0.178,0.140,1.000
-0.031,0.250,0.204,1.000
0.193,0.240,0.203,1.000
0.227,0.112,0.201,1.000
-0.025,-0.065,-0.004,0.000
-0.009,0.021,-0.022,0.000
0.051,-0.048,-0.001,0.000
0.302,0.201,0.116,1.000
-0.001,0.003,-0.057,0.000
0.151,0.256,0.144,1.000
0.097,0.205,0.185,1.000
0.004,0.046,-0.023,0.000
-0.014,0.010,0.072,0.000
0.032,0.035,-0.069,0.000
-0.004,-0.054,0.031,0.000
0.183,0.192,0.202,1.000
0.166,0.164,0.259,1.000
0.019,-0.012,-0.002,0.000
0.296,0.197,0.257,1.000
-0.057,0.050,0.044,0.000
0.238,0.282,0.306,1.000
0.038,-0.045,-0.093,0.000
0.162,0.224,0.178,1.000
0.008,0.033,-0.112,0.000
0.341,0.279,0.167,1.000
-0.006,0.029,0.051,0.000
0.221,0.273,0.219,1.000
0.106,0.199,0.218,1.000
0.173,0.170,0.113,1.000
-0.014,0.063,-0.072,0.000
0.318,0.195,0.190,1.000
0.180,0.266,0.228,1.000
0.141,0.191,0.243,1.000
0.089,0.172,0.211,1.000
0.426,0.121,0.255,1.000
0.304,0.180,0.240,1.000
0.323,0.199,0.146,1.000
0.039,-0.004,0.021,0.000
-0.019,-0.081,-0.057,0.000
-0.093,-0.131,-0.032,0.000
0.143,0.223,0.254,1.000
0.222,0.154,0.287,1.000
0.222,0.252,0.158,1.000
0.293,0.197,0.297,1.000
0.023,-0.021,0.040,0.000
0.386,0.200,0.166,1.000
-0.001,-0.023,-0.022,0.000
0.077,-0.009,-0.067,0.000
0.218,0.133,0.179,1.000
-0.046,0.041,0.077,0.000
0.154,0.265,0.197,1.000
0.253,0.277,0.216,1.000
0.118,0.197,0.146,1.000
-0.051,-0.038,-0.025,0.000
0.305,0.217,0.272,1.000
-0.003,-0.057,0.029,0.000
0.012,-0.013,-0.016,0.000
0.131,0.218,0.177,1.000
0.030,0.005,-0.017,0.000
0.230,0.084,0.171,1.000
0.143,0.117,0.127,1.000
-0.042,0.025,0.056,0.000
-0.020,-0.001,-0.014,0.000
0.022,0.016,-0.031,0.000
0.284,0.161,0.082,1.000
0.003,-0.100,0.016,0.000
0.230,0.124,0.179,1.000
-0.006,-0.001,-0.025,0.000
-0.034,0.056,0.016,0.000
-0.003,0.038,0.094,0.000
-0.142,0.026,-0.035,0.000
-0.004,-0.059,-0.022,0.000
0.309,0.204,0.200,1.000
0.245,0.220,0.167,1.000
-0.128,-0.046,0.010,0.000
0.225,0.187,0.165,1.000
0.135,0.209,0.340,1.000
-0.074,-0.007,-0.122,0.000
0.114,0.249,0.176,1.000
0.219,0.177,0.150,1.000
-0.007,0.189,0.256,1.000
0.060,-0.009,0.023,0.000
0.237,0.217,0.234,1.000
0.049,-0.095,-0.014,0.000
0.028,-0.029,-0.033,0.000
0.329,0.174,0.107,1.000
0.139,0.126,0.240,1.000
-0.025,0.083,0.025,0.000
0.202,0.243,0.160,1.000
0.056,0.212,0.245,1.000
0.016,0.018,-0.041,0.000
-0.101,0.031,0.037,0.000
0.077,0.186,0.173,1.000
0.209,0.178,0.130,1.000
0.061,-0.072,-0.008,0.000
0.069,0.028,-0.041,0.000
0.291,0.232,0.168,1.000
0.172,0.230,0.159,1.000
0.201,0.157,0.267,1.000
0.213,0.192,0.201,1.000
0.054,0.303,0.124,1.000
0.131,0.258,0.211,1.000
0.108,0.188,0.210,1.000
0.328,0.213,0.297,1.000
-0.078,-0.045,-0.036,0.000
0.200,0.226,0.191,1.000
0.035,0.042,0.010,0.000
-0.017,0.214,0.218,1.000
0.207,0.139,0.145,1.000
-0.022,0.252,0.184,1.000
0.333,0.265,0.161,1.000
0.282,0.137,0.113,1.000
0.127,0.204,0.233,1.000
0.261,0.180,0.275,1.000
0.107,0.187,0.272,1.000
0.095,0.176,0.193,1.000
0.277,0.237,0.199,1.000
-0.007,0.237,0.198,1.000
0.136,0.182,0.245,1.000
0.051,0.224,0.159,1.000
0.022,0.014,-0.016,0.000
0.307,0.109,0.221,1.000
-0.050,0.066,-0.002,0.000
0.089,0.192,0.197,1.000
0.243,0.222,0.199,1.000
0.024,0.065,0.015,0.000
0.041,0.021,-0.039,0.000
0.370,0.152,0.098,1.000
-0.054,-0.010,-0.050,0.000
0.030,-0.023,0.019,0.000
0.343,0.218,0.143,1.000
0.027,-0.049,0.016,0.000
0.291,0.261,0.202,1.000
-0.017,0.060,0.018,0.000
-0.009,0.054,-0.004,0.000
-0.108,-0.083,0.047,0.000
0.255,0.086,0.288,1.000
0.135,0.193,0.209,1.000
-0.037,0.022,-0.053,0.000
0.326,0.216,0.053,1.000
0.181,0.305,0.145,1.000
0.029,-0.059,0.010,0.000
-0.029,0.009,0.012,0.000
-0.030,0.003,-0.069,0.000
0.151,0.151,0.235,1.000
0.194,0.241,0.175,1.000
0.206,0.271,0.226,1.000
0.179,0.256,0.260,1.000
-0.042,-0.010,0.060,0.000
-0.034,-0.022,0.064,0.000
0.018,0.029,0.017,0.000
0.011,-0.054,0.009,0.000
-0.026,0.000,0.054,0.000
0.026,0.112,0.286,1.000
0.220,0.124,0.201,1.000
0.076,-0.016,0.013,0.000
-0.051,-0.015,0.024,0.000
0.235,0.268,0.231,1.000
0.293,0.242,0.143,1.000
0.184,0.141,0.251,1.000
-0.027,-0.040,-0.028,0.000
0.246,0.128,0.140,1.000
0.108,0.191,0.109,1.000
0.271,0.184,0.235,1.000
-0.026,-0.038,0.035,0.000
0.102,-0.019,-0.055,0.000
0.147,0.230,0.130,1.000
0.231,0.193,0.220,1.000
0.156,0.202,0.288,1.000
0.106,0.203,0.209,1.000
-0.074,-0.046,0.041,0.000
0.047,-0.068,-0.022,0.000
0.015,-0.057,0.059,0.000
0.010,-0.005,-0.068,0.000
0.276,0.166,0.275,1.000
-0.113,0.037,-0.065,0.000
0.089,0.261,0.163,1.000
0.083,0.128,0.271,1.000
0.239,0.177,0.231,1.000
0.028,-0.076,-0.094,0.000
0.329,0.193,0.196,1.000
0.294,0.139,0.173,1.000
0.190,0.167,0.134,1.000
0.199,0.225,0.246,1.000
0.016,0.054,0.056,0.000
0.331,0.083,0.121,1.000
0.277,0.184,0.192,1.000
0.020,0.012,-0.058,0.000
0.123,0.136,0.232,1.000
0.187,0.211,0.162,1.000
0.015,0.015,-0.026,0.000
0.161,0.237,0.209,1.000
0.270,0.233,0.231,1.000
0.368,0.215,0.214,1.000
0.216,0.191,0.148,1.000
0.021,0.014,-0.009,0.000
-0.120,0.075,0.011,0.000
0.108,0.254,0.189,1.000
0.079,0.171,0.178,1.000
0.302,0.192,0.152,1.000
-0.019,-0.054,0.035,0.000
0.181,0.383,0.180,1.000
0.063,-0.022,-0.027,0.000
0.062,-0.019,-0.045,0.000
0.059,0.037,-0.022,0.000
0.293,0.184,0.249,1.000
-0.064,-0.090,-0.026,0.000
0.023,-0.061,0.055,0.000
-0.092,-0.166,0.053,0.000
0.024,-0.063,-0.074,0.000
0.086,0.213,0.121,1.000
0.123,0.068,0.188,1.000
0.078,0.043,-0.004,0.000
0.029,0.052,-0.006,0.000
0.240,0.193,0.185,1.000
-0.052,-0.011,-0.034,0.000
0.061,-0.014,0.013,0.000
0.244,0.215,0.194,1.000
0.147,0.106,0.204,1.000
0.010,0.048,-0.033,0.000
0.270,0.165,0.191,1.000
0.218,0.207,0.230,1.000
-0.035,-0.017,0.065,0.000
0.094,-0.005,-0.039,0.000
0.327,0.154,0.179,1.000
0.012,-0.025,-0.005,0.000
0.145,0.178,0.209,1.000
0.142,0.203,0.195,1.000
0.012,0.006,-0.009,0.000
0.070,0.271,0.115,1.000
0.160,0.154,0.150,1.000
-0.035,0.055,0.005,0.000
0.137,0.173,0.123,1.000
0.461,0.183,0.244,1.000
0.055,-0.012,0.013,0.000
0.473,0.205,0.236,1.000
-0.024,0.038,-0.006,0.000
-0.032,-0.028,0.050,0.000
0.003,-0.035,0.036,0.000
-0.043,0.046,0.033,0.000
0.178,0.251,0.122,1.000
0.146,0.270,0.211,1.000
0.237,0.190,0.228,1.000
-0.013,-0.035,0.008,0.000
0.164,0.209,0.220,1.000
-0.088,0.012,-0.015,0.000
0.227,0.172,0.185,1.000
0.005,-0.021,0.037,0.000
0.349,0.178,0.204,1.000
0.163,0.286,0.186,1.000
0.043,0.001,-0.013,0.000
0.208,0.233,0.201,1.000
-0.005,0.007,0.023,0.000
0.290,0.143,0.186,1.000
-0.061,-0.006,-0.028,0.000
0.107,0.170,0.188,1.000
0.007,0.036,0.071,0.000
0.066,-0.089,0.068,0.000
0.023,0.096,0.016,0.000
0.214,0.215,0.213,1.000
0.348,0.197,0.129,1.000
0.015,0.228,0.117,1.000
-0.066,-0.049,0.019,0.000
-0.040,0.093,0.008,0.000
0.132,0.146,0.305,1.000
-0.009,-0.056,0.030,0.000
-0.164,0.035,0.056,0.000
-0.067,0.071,0.085,0.000
0.117,0.191,0.303,1.000
-0.020,-0.039,0.070,0.000
0.194,0.262,0.285,1.000
0.200,0.205,0.215,1.000
0.254,0.222,0.180,1.000
0.086,0.171,0.189,1.000
0.030,0.026,-0.043,0.000
0.205,0.183,0.174,1.000
0.094,0.016,-0.041,0.000
0.370,0.215,0.126,1.000
0.381,0.281,0.204,1.000
0.029,-0.074,-0.013,0.000
0.125,0.263,0.232,1.000
0.054,0.004,0.020,0.000
0.227,0.286,0.218,1.000
0.084,0.214,0.196,1.000
0.113,0.210,0.131,1.000
0.133,0.132,0.233,1.000
0.061,0.209,0.239,1.000
0.216,0.176,0.224,1.000
0.150,0.250,0.184,1.000
0.210,0.246,0.160,1.000
0.040,-0.049,-0.090,0.000
0.035,0.208,0.273,1.000
0.022,0.068,-0.015,0.000
0.143,0.166,0.103,1.000
0.206,0.247,0.213,1.000
-0.181,-0.002,0.046,0.000
-0.044,-0.032,-0.060,0.000
0.071,-0.095,-0.032,0.000
-0.039,0.040,-0.077,0.000
0.218,0.251,0.220,1.000
0.283,0.176,0.256,1.000
0.086,0.122,0.268,1.000
0.247,0.207,0.222,1.000
0.094,0.133,0.255,1.000
0.197,0.207,0.197,1.000
0.313,0.229,0.255,1.000
0.090,0.173,0.141,1.000
0.151,0.142,0.121,1.000
0.165,0.148,0.224,1.000
0.112,0.172,0.209,1.000
0.240,0.150,0.266,1.000
0.043,0.037,0.063,0.000
0.317,0.138,0.217,1.000
-0.016,0.018,-0.008,0.000
0.031,0.251,0.125,1.000
-0.026,0.041,0.057,0.000
0.229,0.237,0.196,1.000
0.017,0.081,-0.078,0.000
0.169,0.166,0.068,1.000
-0.049,0.063,0.052,0.000
-0.096,-0.036,-0.044,0.000
0.019,0.010,-0.036,0.000
0.078,-0.014,-0.048,0.000
-0.008,-0.038,0.087,0.000
-0.030,-0.132,-0.023,0.000
0.048,0.195,0.143,1.000
0.135,0.197,0.215,1.000
0.039,-0.030,0.057,0.000
0.095,0.220,0.275,1.000
0.039,0.067,-0.084,0.000
0.043,-0.019,-0.042,0.000
0.246,0.243,0.226,1.000
0.260,0.257,0.126,1.000
-0.013,0.020,-0.047,0.000
0.080,0.194,0.156,1.000
0.046,-0.034,0.048,0.000
0.041,0.032,0.086,0.000
0.297,0.289,0.147,1.000
-0.014,0.050,0.012,0.000
0.004,-0.037,-0.055,0.000
0.149,0.229,0.241,1.000
0.020,0.021,-0.015,0.000
0.205,0.224,0.251,1.000
0.083,0.097,0.231,1.000
0.330,0.144,0.239,1.000
0.375,0.179,0.140,1.000
0.247,0.148,0.200,1.000
0.377,0.177,0.272,1.000
-0.070,0.032,-0.020,0.000
-0.026,-0.033,-0.006,0.000
0.133,0.215,0.239,1.000
0.025,0.042,-0.067,0.000
0.027,0.021,-0.028,0.000
-0.015,0.122,0.329,1.000
0.218,0.153,0.156,1.000
0.184,0.100,0.240,1.000
0.225,0.240,0.187,1.000
0.134,0.188,0.225,1.000
0.020,0.034,0.063,0.000
-0.017,0.036,0.024,0.000
-0.047,-0.069,0.028,0.000
0.268,0.163,0.150,1.000
0.209,0.219,0.217,1.000
0.014,-0.039,-0.011,0.000
-0.015,-0.053,-0.063,0.000
0.024,0.064,-0.029,0.000
0.135,0.210,0.271,1.000
0.117,0.085,0.266,1.000
-0.009,-0.009,0.118,0.000
0.076,-0.082,0.148,0.000
0.287,0.201,0.184,1.000
-0.037,-0.067,0.082,0.000
-0.044,-0.021,0.003,0.000
-0.037,-0.062,0.040,0.000
0.007,0.036,0.010,0.000
0.050,0.019,0.094,0.000
-0.038,-0.080,0.053,0.000
0.274,0.152,0.177,1.000
0.244,0.183,0.160,1.000
0.175,0.238,0.191,1.000
-0.006,-0.034,-0.004,0.000
-0.039,0.051,0.032,0.000
0.046,-0.058,0.136,0.000
0.132,0.213,0.204,1.000
-0.010,-0.038,-0.055,0.000
0.182,0.269,0.257,1.000
0.032,0.024,-0.003,0.000
0.383,0.206,0.239,1.000
0.025,0.193,0.203,1.000
0.043,0.055,0.058,0.000
0.010,0.043,-0.011,0.000
-0.037,-0.030,0.005,0.000
0.011,-0.070,-0.044,0.000
-0.081,0.083,0.091,0.000
-0.017,-0.016,-0.016,0.000
0.231,0.195,0.177,1.000
0.226,0.164,0.233,1.000
0.294,0.167,0.273,1.000
0.269,0.206,0.182,1.000
